2025-04-25T19:35:52.334922+0530 INFO Initializing QueryRetrieval...
2025-04-25T19:35:56.404772+0530 INFO QueryRetrieval initialized successfully.
2025-04-25T19:35:56.407271+0530 INFO Total stored documents: 0
2025-04-25T19:36:43.597961+0530 INFO Received request to ingest PDFs from folder: D:\NCERT\CLASS9\eCONOMICS
2025-04-25T19:36:43.601370+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c4.pdf
2025-04-25T19:36:58.878227+0530 DEBUG Stored chunk 68 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:58.955743+0530 DEBUG Stored chunk 69 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.018175+0530 DEBUG Stored chunk 70 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.072706+0530 DEBUG Stored chunk 71 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.127814+0530 DEBUG Stored chunk 72 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.189200+0530 DEBUG Stored chunk 73 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.248349+0530 DEBUG Stored chunk 74 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.313863+0530 DEBUG Stored chunk 75 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.386403+0530 DEBUG Stored chunk 76 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.455400+0530 DEBUG Stored chunk 77 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.511029+0530 DEBUG Stored chunk 78 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.601944+0530 DEBUG Stored chunk 79 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.674426+0530 DEBUG Stored chunk 80 from class9_economics_c1.pdf - Class 9, Economics, Chapter 1
2025-04-25T19:36:59.674901+0530 INFO Extracting text from: D:\NCERT\CLASS9\eCONOMICS\class9_economics_c2.pdf
2025-04-25T19:37:00.055679+0530 DEBUG Stored chunk 0 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.116907+0530 DEBUG Stored chunk 1 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.174050+0530 DEBUG Stored chunk 2 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.236409+0530 DEBUG Stored chunk 3 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.284386+0530 DEBUG Stored chunk 4 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.354679+0530 DEBUG Stored chunk 5 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.449714+0530 DEBUG Stored chunk 6 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.544522+0530 DEBUG Stored chunk 7 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.636811+0530 DEBUG Stored chunk 8 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.735127+0530 DEBUG Stored chunk 9 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.822411+0530 DEBUG Stored chunk 10 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:00.922328+0530 DEBUG Stored chunk 11 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.006911+0530 DEBUG Stored chunk 12 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.062767+0530 DEBUG Stored chunk 13 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.131877+0530 DEBUG Stored chunk 14 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.187281+0530 DEBUG Stored chunk 15 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.249569+0530 DEBUG Stored chunk 16 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.313571+0530 DEBUG Stored chunk 17 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.390246+0530 DEBUG Stored chunk 18 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.460310+0530 DEBUG Stored chunk 19 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.496910+0530 DEBUG Stored chunk 20 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.554407+0530 DEBUG Stored chunk 21 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.611685+0530 DEBUG Stored chunk 22 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.669225+0530 DEBUG Stored chunk 23 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.733382+0530 DEBUG Stored chunk 24 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.816153+0530 DEBUG Stored chunk 25 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.892215+0530 DEBUG Stored chunk 26 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:01.941925+0530 DEBUG Stored chunk 27 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.015589+0530 DEBUG Stored chunk 28 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.083167+0530 DEBUG Stored chunk 29 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.178283+0530 DEBUG Stored chunk 30 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.241871+0530 DEBUG Stored chunk 31 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.319677+0530 DEBUG Stored chunk 32 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.396185+0530 DEBUG Stored chunk 33 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.482619+0530 DEBUG Stored chunk 34 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.567316+0530 DEBUG Stored chunk 35 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.653487+0530 DEBUG Stored chunk 36 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.783484+0530 DEBUG Stored chunk 37 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:02.903568+0530 DEBUG Stored chunk 38 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:03.112072+0530 DEBUG Stored chunk 39 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:03.307502+0530 DEBUG Stored chunk 40 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:03.523559+0530 DEBUG Stored chunk 41 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:03.717517+0530 DEBUG Stored chunk 42 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:03.873070+0530 DEBUG Stored chunk 43 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:04.066812+0530 DEBUG Stored chunk 44 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:04.235656+0530 DEBUG Stored chunk 45 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:04.387108+0530 DEBUG Stored chunk 46 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
2025-04-25T19:37:04.543169+0530 DEBUG Stored chunk 47 from class9_economics_c2.pdf - Class 9, Economics, Chapter 2
